scene,latlng,latlng_cn
scene-000190,1631619400.000.json,"113.94108534129,22.57525723880","113.94596155569786,22.572240936743743"
scene-000191,1631619480.000.json,"113.93745822996,22.57530636174","113.9423306251406,22.572284090825082"
scene-000192,1631619540.000.json,"113.93701424129,22.57683298937","113.94188630479654,22.573810193761936"
scene-000193,1631619560.000.json,"113.93701219566,22.57692614351","113.94188426310932,22.57390335516576"
scene-000194,1631619580.000.json,"113.93699700795,22.57772220404","113.9418691112891,22.574699481794422"
scene-000195,1631619670.000.json,"113.93407786501,22.57873939397","113.93894743807488,22.57571243004189"
scene-000196,1631619780.000.json,"113.93271058417,22.58299846613","113.9375793437362,22.579970084289467"
scene-000197,1631619845.000.json,"113.93513973809,22.58335485799","113.94001050281842,22.58032997980122"
scene-000198,1631619885.000.json,"113.93739827977,22.58338575668","113.94227112804293,22.58036432286723"
scene-000199,1631620000.000.json,"113.94119454172,22.58349013364","113.94607140145229,22.580474969036732"
scene-000200,1631620220.000.json,"113.94389986920,22.58353427650","113.94877996299238,22.580523928829457"
scene-000201,1631620330.000.json,"113.94547233328,22.58355858018","113.950354447222,22.580551163552457"
scene-000202,1631620395.000.json,"113.94658316206,22.58357632560","113.95146676413218,22.58057103667207"
scene-000203,1631620642.000.json,"113.94914325237,22.58360351951","113.95403047158246,22.580603308754956"
scene-000204,1631620700.000.json,"113.95416773053,22.58362945781","113.95906278211038,22.58063989775604"
scene-000205,1631621060.000.json,"113.96468082809,22.58518998528","113.96959522724133,22.582225572161377"
scene-000206,1631621100.000.json,"113.96866195551,22.58512760434","113.97358452946219,22.582173466525845"
scene-000207,1631621220.000.json,"113.97160949299,22.58662445641","113.9765384904881,22.583678372090475"
scene-000208,1631621240.000.json,"113.97177435487,22.58705190996","113.97670373996654,22.584106325094226"
scene-000209,1631621280.000.json,"113.97344227939,22.58758836209","113.97837538058369,22.584647391488854"
scene-000210,1631621350.000.json,"113.97745702711,22.58750461690","113.9823992381634,22.584574816998742"
scene-000211,1631621390.000.json,"113.98032000524,22.58751071843","113.98526891242192,22.58458907586694"
scene-000212,1632795010.000.json,"113.98972711185,22.60465454253","113.99470000331453,22.601762870567175"
scene-000213,1632795030.000.json,"113.98993341868,22.60358356890","113.99490675509035,22.600692356757197"
scene-000214,1632795100.000.json,"113.99086636643,22.59950061702","113.99584176824736,22.596611613225765"
scene-000215,1632795140.000.json,"113.99005003248,22.59714875454","113.99502324677223,22.594256977786618"
scene-000216,1632795160.000.json,"113.99004963898,22.59569472123","113.9950227590715,22.592802744096016"
scene-000217,1632795200.000.json,"113.98846657911,22.59502635925","113.99343572394793,22.592129565908397"
scene-000218,1632795300.000.json,"113.98550886384,22.59537260120","113.99047075486867,22.592467092565087"
scene-000219,1632795400.000.json,"113.98376701438,22.59482890452","113.98872463647841,22.591918209755995"
scene-000220,1632795460.000.json,"113.98226239733,22.59367304528","113.98721632272316,22.59075781158888"
scene-000221,1632795540.000.json,"113.97936914100,22.59034502009","113.98431598888112,22.587421014429857"
scene-000222,1632795580.000.json,"113.97822154682,22.58963013719","113.9831656667591,22.586702771521292"
scene-000223,1632795620.000.json,"113.97789745526,22.58947572949","113.98284081230022,22.586547425302395"
scene-000224,1632795720.000.json,"113.97786530003,22.58701855290","113.98280842553298,22.5840898464539"
scene-000225,1632795780.000.json,"113.98080077312,22.58718976652","113.98575079851854,22.5842694668035"
scene-000226,1632795860.000.json,"113.98335106667,22.58547581370","113.98830708558025,22.582562696716074"
scene-000227,1632795880.000.json,"113.98339643345,22.58421547006","113.98835248121905,22.581302331305118"
scene-000228,1632795920.000.json,"113.98370002227,22.58102499725","113.988656599294,22.578112364028886"
scene-000229,1632796000.000.json,"113.98582053650,22.57354089504","113.990781792077,22.57063364582305"
scene-000230,1632796020.000.json,"113.98642881757,22.57161320586","113.99139143988788,22.56870754748638"
scene-000231,1632796060.000.json,"113.98750464687,22.56744225402","113.99246964835882,22.564539354549694"
scene-000232,1632796160.000.json,"113.98267398217,22.55881253334","113.98762666672961,22.555894616898577"
scene-000233,1632796200.000.json,"113.97804646956,22.55749479155","113.98298813109668,22.554563464344955"
scene-000234,1632796260.000.json,"113.97223477813,22.55719723205","113.9771632703851,22.55424973231882"
scene-000235,1632796400.000.json,"113.96253316861,22.55808153838","113.9674416225557,22.555108900238714"
scene-000236,1632796440.000.json,"113.96228792124,22.56053077568","113.96719605774535,22.557557751743335"
scene-000237,1632796460.000.json,"113.96161402796,22.56194582028","113.96652096408236,22.55897127364027"
scene-000238,1632796480.000.json,"113.96088122449,22.56350421048","113.9657868727532,22.560528028030134"
scene-000239,1632796520.000.json,"113.95892023956,22.56495576418","113.96382235390129,22.561975031675512"
scene-000240,1632796580.000.json,"113.95605662794,22.56573665974","113.96095372777718,22.562749371933883"
scene-000241,1632796600.000.json,"113.95505117972,22.56624263553","113.95994660108428,22.56325313216782"
scene-000242,1632796660.000.json,"113.95259868338,22.57069973843","113.95749036754512,22.567705303975675"
scene-000243,1632796770.000.json,"113.95240357518,22.57113456537","113.95729497659072,22.568139756989506"
scene-000244,1632796840.000.json,"113.95120180200,22.57463628786","113.95609154538815,22.57163930054472"
scene-000245,1632796860.000.json,"113.95120182179,22.57463639672","113.95609156521557,22.571639409458246"
scene-000246,1632796880.000.json,"113.95122651454,22.57476855721","113.95611630443244,22.571771636352118"
scene-000247,1632796920.000.json,"113.95356604013,22.57485059839","113.95845954714719,22.571858706002214"
scene-000248,1632796960.000.json,"113.95532183110,22.57332730864","113.96021815906457,22.57033914135706"
scene-000249,1632796980.000.json,"113.95553124418,22.57239381156","113.96042786824465,22.56940601534482"
scene-000250,1632797000.000.json,"113.95549270853,22.57152216379","113.96038921175688,22.568534188596505"
scene-000251,1632797020.000.json,"113.95549282165,22.57152215638","113.96038932506863,22.56853418144035"
scene-000252,1632797040.000.json,"113.95549269502,22.57151893967","113.96038919801927,22.568530964106827"
scene-000253,1632797090.000.json,"113.95898884487,22.57077707097","113.9638914536802,22.567797085617638"
scene-000254,1632797150.000.json,"113.95620825262,22.57126382030","113.96110596436411,22.56827743703649"
scene-000255,1632797260.000.json,"113.95205245914,22.57143324223","113.95694332458606,22.56843771388197"
scene-000256,1632797280.000.json,"113.95101558431,22.57149963902","113.95590484230162,22.56850192427531"
scene-000257,1632797440.000.json,"113.94959406839,22.57451803043","113.95448137478344,22.571517694294577"
scene-000258,1632797460.000.json,"113.94955408587,22.57510944211","113.95444137061442,22.572109088939836"
