scene,latlng,latlng_cn
scene-000612,1635843890.000.json,"113.91206674915,22.49068477031","113.91692401330928,22.4876319322638"
scene-000613,1635844120.000.json,"113.91620404892,22.49516897362","113.92106109804246,22.492118409148265"
scene-000614,1635844160.000.json,"113.91769855193,22.49702485002","113.92255574103704,22.493975305133297"
scene-000615,1635845545.000.json,"113.92838415223,22.52298706633","113.93324625979781,22.51994828612022"
scene-000616,1635845810.000.json,"113.94909706748,22.52540375016","113.95398053188387,22.522398614423814"
scene-000617,1635845950.000.json,"113.94522389185,22.52831892609","113.95010218249293,22.52530635104749"
scene-000618,1635846880.000.json,"113.95268011442,22.56599899944","113.95757163034969,22.56300426500686"
scene-000619,1635846900.000.json,"113.95167063705,22.56814633107","113.95656069583018,22.56514965208995"
scene-000620,1635850570.000.json,"113.99031488979,22.60493094901","113.99528926331826,22.602041076278383"
scene-000621,1635850650.000.json,"113.99268580672,22.60525851334","113.99766613619167,22.60237580868368"
scene-000622,1635850680.000.json,"113.99382425601,22.60560372429","113.99880747109721,22.60272450234046"
scene-000623,1635850700.000.json,"113.99484692102,22.60618680047","113.99983275186328,22.60331075357182"
scene-000624,1635850760.000.json,"113.99717466559,22.60587177663","114.00216636106526,22.603002727475577"
scene-000625,1635850895.000.json,"113.99848112130,22.60175453291","114.00347586155976,22.598888841644346"
scene-000626,1635850920.000.json,"113.99891155924,22.60067254779","114.00390732086129,22.597808007086815"
scene-000627,1635851050.000.json,"113.99794965601,22.59891393207","114.00294286706215,22.596046226312062"
scene-000628,1635851200.000.json,"113.99315278289,22.59637499561","113.9981337158127,22.59349243154734"
scene-000629,1635851240.000.json,"113.99178346893,22.59725474890","113.99676102122673,22.59436818486104"
scene-000630,1635851340.000.json,"113.99118129985,22.59937176783","113.99615748062034,22.596483690577"
scene-000631,1635851380.000.json,"113.99213518807,22.59962284727","113.9971137739258,22.596737671029654"
scene-000632,1635851500.000.json,"113.99041425366,22.60264387239","113.99538872834738,22.599753962743186"
scene-000633,1635851751.000.json,"113.99816615865,22.60589044393","114.00316036667695,22.603024402710233"
scene-000634,1635851780.000.json,"113.99864780577,22.60651179773","114.00364327432862,22.603647309688927"
scene-000635,1635851940.000.json,"113.99832822370,22.60929689885","114.00332306141875,22.606431863340806"
scene-000636,1635851980.000.json,"113.99883419976,22.60783344303","114.00383022574302,22.604969719105863"
scene-000637,1635852040.000.json,"113.99798306486,22.60598962991","114.00297681536225,22.60312304837809"
scene-000638,1635852080.000.json,"113.99630420553,22.60645696548","114.00129373579071,22.603585367215402"
scene-000639,1635852180.000.json,"113.99478990466,22.60718571039","113.99977565577804,22.604309640881873"
scene-000640,1635852230.000.json,"113.99494482891,22.60624607707","113.99993091066824,22.603370334932922"
scene-000641,1635852310.000.json,"113.99464900718,22.60380069307","113.9996341854102,22.600923695588204"
scene-000642,1635852500.000.json,"114.00054907511,22.59920899319","114.00554889370511,22.596349212272614"
scene-000643,1635852540.000.json,"114.00276460400,22.59941570895","114.00777004911178,22.596562674413548"
scene-000644,1635852580.000.json,"114.00209066874,22.59795223008","114.00709431308132,22.595096948336156"
scene-000645,1635852620.000.json,"114.00019080611,22.59575924129","114.00518949464283,22.59289789643143"
scene-000646,1635852660.000.json,"113.99766230131,22.59424521637","114.00265448447321,22.591375999017682"
scene-000647,1635905760.000.json,"113.92372467098,22.64102027862","113.92859214190044,22.637990378364265"
scene-000648,1635905880.000.json,"113.91574506245,22.65006228131","113.92061191382147,22.647027774133324"
scene-000649,1635906350.000.json,"113.91158977815,22.66193520367","113.91645797555147,22.658900990740687"
scene-000650,1635906610.000.json,"113.91791871304,22.65874236417","113.92278613598621,22.655711112737382"
scene-000651,1635906750.000.json,"113.91757389947,22.65792607052","113.92244125206945,22.654894400907427"
scene-000652,1635906980.000.json,"113.92040427081,22.67044839579","113.9252727395469,22.667421635066486"
scene-000653,1635907530.000.json,"113.93461787806,22.68947958258","113.93949492439576,22.68647360507995"
scene-000654,1635907550.000.json,"113.93489176338,22.69049643224","113.9397691083803,22.687491106179372"
scene-000655,1635907765.000.json,"113.94425809844,22.68620725733","113.94914516247414,22.683216410715954"
scene-000656,1635908440.000.json,"113.92808531523,22.68073166868","113.93295724182015,22.677714988175016"
scene-000658,1635908560.000.json,"113.93000178842,22.68049185297","113.93487483422781,22.677477443077077"
scene-000659,1635908590.000.json,"113.93074024991,22.68051873321","113.93561378019373,22.677505269205174"
scene-000660,1635908620.000.json,"113.93164084739,22.68035096160","113.93651498993763,22.677338635581112"
scene-000661,1635908670.000.json,"113.93315614889,22.67986422222","113.93803139280519,22.676853841386244"
scene-000662,1635908690.000.json,"113.93316863038,22.67899901551","113.93804382910892,22.675988448025695"
scene-000663,1635908800.000.json,"113.93580180574,22.67744928822","113.94067912366968,22.674442171488575"
scene-000664,1635908840.000.json,"113.93728492243,22.67590765627","113.94216352860644,22.67290245721602"
scene-000665,1635908910.000.json,"113.93926556733,22.67198818232","113.9441459273598,22.668985264997513"
scene-000666,1635909130.000.json,"113.93513300269,22.67537665673","113.94000959605386,22.672368061710564"
scene-000667,1635909190.000.json,"113.93164061765,22.67539027571","113.93651444504826,22.672376788201344"
scene-000668,1635909220.000.json,"113.93081524002,22.67574588144","113.93568851770371,22.67273139555905"
scene-000669,1635909270.000.json,"113.92961695887,22.67637472303","113.9344895017529,22.67335886661818"
scene-000670,1635909660.000.json,"113.92232673202,22.67343392825","113.92719582845687,22.670409526773525"
scene-000671,1635909720.000.json,"113.92054950544,22.67411618450","113.92541823376683,22.6710903804933"
scene-000672,1635910060.000.json,"113.92012926981,22.64480184605","113.9249960643644,22.641769446223115"
scene-000673,1635910100.000.json,"113.92354140766,22.64104166572","113.92840881829869,22.638011590798158"
scene-000674,1635921660.000.json,"114.00526890214,22.59828268951","114.01028060360134,22.595437074984158"
scene-000675,1635921700.000.json,"114.00589582597,22.59946809693","114.01090918412149,22.59662454191371"
scene-000676,1635921770.000.json,"114.00707037030,22.60131779449","114.01208680261355,22.598478044133007"
scene-000677,1635921800.000.json,"114.00853424502,22.60152055787","114.01355436082916,22.59868523954597"
scene-000678,1635921900.000.json,"114.00924524383,22.60101811470","114.01426710418367,22.598184857653507"
scene-000679,1635922140.000.json,"114.01295539656,22.60760702753","114.01798687947768,22.60478580000168"
scene-000680,1635922210.000.json,"114.01701323577,22.61227515606","114.02205489627893,22.609466574684298"
scene-000681,1635922260.000.json,"114.02157862491,22.61397328690","114.02663120765475,22.611178115234193"
scene-000682,1635923640.000.json,"114.05160770620,22.62529131693","114.05671897189191,22.62257219860408"
scene-000683,1635923890.000.json,"114.05657166325,22.62927428174","114.06168977658808,22.626565335540153"
scene-000684,1635923940.000.json,"114.06007702508,22.62935490559","114.06519917670678,22.626652086953182"
scene-000685,1635924010.000.json,"114.06262865853,22.62883813548","114.0677533776729,22.626139363258613"
scene-000686,1635924373.000.json,"114.06608599419,22.62592888155","114.07121358583711,22.623234775309683"
scene-000687,1635924495.000.json,"114.06298868450,22.62259339661","114.06811333953897,22.619894104418844"
scene-000688,1635924550.000.json,"114.06145712606,22.62282814865","114.06658029377944,22.62012646716808"
scene-000689,1635925590.000.json,"114.03608568229,22.60539412265","114.04116908739228,22.602636621802322"
scene-000690,1635926280.000.json,"114.01706223701,22.61253520909","114.02210403219615,22.609726811268462"
scene-000691,1635926370.000.json,"114.01206787251,22.60719890892","114.01709714168533,22.604374985642647"
scene-000692,1635926560.000.json,"114.00225865108,22.59754235845","114.00726269451431,22.59468752906529"
scene-000693,1635927180.000.json,"113.96984947552,22.58696417518","113.97477468944912,22.584013410047856"
scene-000694,1637286140.000.json,"113.99809959187,22.59905434317","114.0030931918034,22.596187111648216"
scene-000695,1637286220.000.json,"113.99540809901,22.59601365551","114.0003946933907,22.593137851739126"
scene-000696,1637286260.000.json,"113.99422047891,22.59603246936","113.9992040778226,22.593153079224546"
scene-000697,1637286400.000.json,"113.99059592233,22.59905717571","113.99557062033836,22.596167298940458"
scene-000698,1637286460.000.json,"113.99196974306,22.60098642140","113.99694800157228,22.598100941153348"
scene-000699,1637286490.000.json,"113.99174609853,22.60199289202","113.99672386116464,22.59910688388823"
scene-000700,1637286660.000.json,"113.99652845894,22.60611298296","114.00151853439071,22.603242012329325"
scene-000701,1637286680.000.json,"113.99753137700,22.60576695052","114.00252396901722,22.602898966715536"
scene-000702,1637287200.000.json,"114.00217223548,22.59807968146","114.00717609462298,22.595224664690033"
scene-000703,1637287230.000.json,"114.00101339585,22.59668289108","114.00601422889495,22.593824167499854"
scene-000704,1637287950.000.json,"113.98398537026,22.57937828388","113.98894253240418,22.576466293594862"
scene-000705,1637288160.000.json,"113.98302643060,22.55598698182","113.98797978218896,22.55306984581777"
scene-000706,1637288350.000.json,"113.98385628343,22.54704873260","113.98881106675,22.54413331096389"
scene-000707,1637288440.000.json,"113.98792633850,22.54385858178","113.99289087198943,22.54095493892312"
scene-000708,1637289030.000.json,"113.99364797997,22.52822235298","113.9986257904049,22.525334935030344"
scene-000709,1637289080.000.json,"113.99057749717,22.52577336320","113.99554745618252,22.522876597604704"
scene-000710,1637289120.000.json,"113.98927973644,22.52611251316","113.9942464870761,22.52321188159905"
scene-000711,1637289190.000.json,"113.98991446028,22.52784025073","113.99488289931017,22.524941596836012"
scene-000712,1637289300.000.json,"113.98874275352,22.52935464006","113.99370837942598,22.526452562112716"
scene-000713,1637289330.000.json,"113.98947499627,22.53026531516","113.99444249743357,22.527365468191995"
scene-000714,1637289450.000.json,"113.99234715607,22.52679704910","113.99732160741378,22.52390564431477"
scene-000715,1637289570.000.json,"113.97911535627,22.52300849305","113.98405731194832,22.520077983952984"
scene-000716,1637289740.000.json,"113.95952139892,22.52291663731","113.96442194351401,22.519934419058227"
scene-000717,1637289840.000.json,"113.94704911410,22.52431384267","113.95192960158683,22.521304583255656"
scene-000718,1637289920.000.json,"113.93879597179,22.52567579178","113.94366657117106,22.522651800779613"
scene-000719,1637290000.000.json,"113.93563943515,22.52137708243","113.94050672237735,22.51834797669329"
scene-000720,1637290130.000.json,"113.93439972112,22.51795019159","113.93926571932579,22.514919134830922"
scene-000721,1637290260.000.json,"113.93364732994,22.51582892757","113.93851257709292,22.512796724684584"
scene-000722,1637290320.000.json,"113.93267844215,22.51078567328","113.93754261421081,22.50775197659958"
scene-000723,1637290390.000.json,"113.92989203338,22.50808005152","113.93475409834916,22.505042636405765"
scene-000724,1637290600.000.json,"113.92178956149,22.50793070533","113.92664805058732,22.504884592805077"
scene-000725,1637290640.000.json,"113.92084423326,22.50790952021","113.92570250808932,22.504862583179758"
scene-000726,1637291030.000.json,"113.91373591973,22.49693990822","113.91859327800753,22.49388790846993"
scene-000727,1637291070.000.json,"113.91256639264,22.49530241591","113.91742384385351,22.492249817917223"
scene-000728,1637291100.000.json,"113.91159058701,22.49346737631","113.91644813662124,22.490414327969237"
scene-000729,1637291140.000.json,"113.91024743057,22.49077695797","113.91510518013492,22.48772336753257"
scene-000730,1637291180.000.json,"113.90880691814,22.48786477950","113.91366497668163,22.484810708809512"
scene-000731,1637291220.000.json,"113.90747181348,22.48808329992","113.91233043084674,22.485028857199193"
scene-000732,1637291260.000.json,"113.90802667183,22.48967634692","113.91288515268766,22.48662204240545"
scene-000733,1637291320.000.json,"113.90826064039,22.49276952515","113.91311922064688,22.48971528325784"
scene-000734,1637291350.000.json,"113.90867384000,22.49448504694","113.91353236612333,22.491430930087212"
scene-000735,1637291390.000.json,"113.90946896860,22.49553293563","113.91432727156928,22.492479077412508"
scene-000736,1637291420.000.json,"113.90992474564,22.49617471191","113.91478293694323,22.493121015657"
scene-000737,1637291440.000.json,"113.91013777074,22.49660874243","113.91499592171591,22.493555126119062"
scene-000738,1637291479.000.json,"113.91158847005,22.49783200691","113.91644629517631,22.494778980081378"
scene-000739,1637291511.000.json,"113.91177147649,22.49826785309","113.91662928543445,22.495214909883135"
scene-000740,1637291570.000.json,"113.91314047957,22.49985371024","113.91799811306736,22.496801428674733"
scene-000741,1637291680.000.json,"113.91386087435,22.49716224776","113.91871822957971,22.494110316129664"
scene-000742,1637291700.000.json,"113.91327450054,22.49724104105","113.91813194729599,22.494188803750966"
scene-000743,1637291730.000.json,"113.91210216136,22.49803607246","113.9169598809191,22.49498327564517"
scene-000744,1637291770.000.json,"113.91106271235,22.49729552033","113.91592063801836,22.494242267987683"
scene-000745,1637291820.000.json,"113.90982865179,22.49605385712","113.91468686671848,22.493000125978106"
scene-000746,1637291840.000.json,"113.90964894581,22.49547105783","113.91450718362789,22.49241726077628"
scene-000747,1637291860.000.json,"113.91046802868,22.49511636455","113.91532598500939,22.49206286399588"
scene-000748,1637291890.000.json,"113.91160902978,22.49461879029","113.91646664746413,22.49156575338709"
scene-000749,1637291960.000.json,"113.91187572543,22.49450315169","113.9167332730248,22.491450231671543"
scene-000750,1637291990.000.json,"113.91270487317,22.49414821108","113.9175622250057,22.49109567507521"
scene-000751,1637292060.000.json,"113.91443739556,22.49302181862","113.91929442096722,22.48997018502251"
scene-000752,1637292160.000.json,"113.91241524330,22.49093211240","113.91727244933463,22.487879435152486"
scene-000753,1637292200.000.json,"113.91203405192,22.49170692796","113.91689138768618,22.48865407424358"
scene-000754,1637292250.000.json,"113.91300045456,22.49364499607","113.91785772087943,22.490592603482828"
scene-000755,1637292270.000.json,"113.91288466958,22.49408256092","113.91774198404511,22.491030112336666"
scene-000756,1637292310.000.json,"113.91229063967,22.49434014685","113.91714808608988,22.49128741514664"
scene-000757,1637292350.000.json,"113.91194133962,22.49448251652","113.91679887098773,22.49142962578059"
scene-000758,1637292390.000.json,"113.91037954353,22.49515834145","113.91523752894798,22.492104807418837"
scene-000759,1637292410.000.json,"113.90953111522,22.49553110498","113.91438939674778,22.49247726781436"
scene-000760,1637292460.000.json,"113.90851677582,22.49401722195","113.91337533316846,22.490963056723245"
scene-000761,1637292490.000.json,"113.90812640516,22.49240248325","113.9129850167486,22.489348203358375"
scene-000762,1637292510.000.json,"113.90813741467,22.49126545911","113.91299595012464,22.48821118223408"
scene-000763,1637292550.000.json,"113.90942239577,22.49087641854","113.91428042146623,22.487822535953594"
scene-000764,1637292570.000.json,"113.90980482712,22.49072349268","113.91466271403215,22.487669741853512"
scene-000765,1637292657.000.json,"113.91070741369,22.48913608905","113.91556492361124,22.48608267878116"
scene-000766,1637292870.000.json,"113.91004756877,22.48524298033","113.91490503212673,22.482189344445572"
scene-000767,1637292900.000.json,"113.91130532455,22.48467731018","113.91616239167797,22.48162417229025"
scene-000768,1637292960.000.json,"113.91007163808,22.48243117120","113.9149289167351,22.4793775740536"
scene-000769,1637292980.000.json,"113.90945479509,22.48226351986","113.91431226706777,22.479209708499468"
scene-000770,1637294392.000.json,"113.94742882401,22.51235489754","113.95230908168303,22.509345958469364"
scene-000772,1637303230.000.json,"113.97909550971,22.58721357668","113.98404151576557,22.584288391045167"
scene-000773,1637303360.000.json,"113.96482146489,22.58534864368","113.96973615539777,22.582384606139684"
scene-000774,1637303410.000.json,"113.96082956108,22.58507790430","113.96573648336258,22.582103943578293"
scene-000775,1637304510.000.json,"113.95480795570,22.54801147785","113.95970181221651,22.545019853687833"
scene-000776,1637305070.000.json,"113.94916511534,22.52514422258","113.95404866277805,22.522139213333833"
scene-000777,1637305380.000.json,"113.94664338813,22.50203996748","113.95152191096356,22.499029283289403"
scene-000778,1637305480.000.json,"113.94681839326,22.49244577636","113.95169654889945,22.48943536170754"
scene-000779,1637305655.000.json,"113.93942246182,22.48968754810","113.94429144431192,22.486663821629357"
scene-000780,1637305720.000.json,"113.93664244637,22.48780748377","113.94150853308831,22.484779326947592"
scene-000781,1637305880.000.json,"113.93474769365,22.49198621437","113.9396123475338,22.488955206079453"
scene-000782,1637306045.000.json,"113.93236077491,22.48953685145","113.93722336788984,22.486502483672286"
scene-000783,1637306190.000.json,"113.93105646211,22.49435387960","113.93591842702587,22.491317778172096"
scene-000784,1637306245.000.json,"113.93156507503,22.49598850318","113.9364274970735,22.49295307683148"
scene-000785,1637306390.000.json,"113.93435605271,22.49903769106","113.93922082085045,22.496006149460577"
scene-000786,1637306420.000.json,"113.93522657867,22.49835804077","113.94009204807223,22.49532776505415"
scene-000787,1637306440.000.json,"113.93553404035,22.49714860849","113.94039970441806,22.494118780079056"
scene-000788,1637306460.000.json,"113.93583704590,22.49659170840","113.9407029460199,22.49356233041066"
scene-000790,1637306510.000.json,"113.93594080563,22.49871003088","113.94080693321244,22.49568082590135"
scene-000791,1637306550.000.json,"113.93717593856,22.49905617322","113.94204324153428,22.496028868007656"
scene-000792,1637306590.000.json,"113.93775410312,22.49743411368","113.94262186695194,22.494407703981647"
scene-000793,1637306710.000.json,"113.93565002844,22.50156313028","113.94051607437078,22.498533519910836"
scene-000794,1637306740.000.json,"113.93568649590,22.50303069902","113.94055266705077,22.50000116389131"
scene-000795,1637306780.000.json,"113.93583214458,22.50445384490","113.94069853638491,22.501424551273544"
scene-000796,1637306810.000.json,"113.93615426878,22.50604273348","113.94102105361598,22.50301395543281"
scene-000797,1637306840.000.json,"113.93641796288,22.50725025044","113.94128506703262,22.504221898257182"
scene-000798,1637306905.000.json,"113.93880024132,22.50745059558","113.94366969396653,22.50442600913709"
scene-000799,1637306940.000.json,"113.93884341503,22.50641398043","113.94371284685967,22.503389443345053"
scene-000800,1637307060.000.json,"113.93698903054,22.50496946042","113.94185652780249,22.501941944917426"
scene-000801,1637307120.000.json,"113.93644982334,22.50738238311","113.94131696541521,22.50435408242304"
scene-000802,1637307206.000.json,"113.93883586134,22.50538544807","113.943705220416,22.50236087928788"
scene-000803,1637307230.000.json,"113.93886879920,22.50385536314","113.94373809577085,22.5008308218221"
scene-000804,1637307320.000.json,"113.93890761840,22.50173873819","113.94377682159181,22.498714229077734"
scene-000805,1637307340.000.json,"113.93877737696,22.50093847587","113.94364639487475,22.497913744285427"
scene-000806,1637307370.000.json,"113.93746581557,22.50088757549","113.94233351466852,22.497860744579775"
scene-000807,1637307450.000.json,"113.93778272795,22.49746494098","113.94265052199555,22.49443857690328"
scene-000808,1637307670.000.json,"113.93605229923,22.50571346030","113.94091897011026,22.502684521420832"
scene-000809,1637307770.000.json,"113.93695832272,22.50939991388","113.94182607040648,22.5063724417964"
scene-000810,1637307830.000.json,"113.93704287680,22.51190604757","113.9419108633471,22.508878769993988"
scene-000811,1637307860.000.json,"113.93702830247,22.51279496453","113.94189633121904,22.509767688685987"
scene-000812,1637307945.000.json,"113.93835998310,22.51308636006","113.94322934110718,22.510061199898512"
scene-000813,1637308040.000.json,"113.93978182238,22.51666111865","113.94465289161948,22.513638399094607"
scene-000814,1637308070.000.json,"113.94000770144,22.51774733219","113.94487908337662,22.514725027269098"
scene-000815,1637309440.000.json,"113.91516632396,22.50014997936","113.92002373424286,22.497098812655086"
scene-000816,1637309470.000.json,"113.91413494173,22.50034360818","113.91899246264981,22.49729185455723"
scene-000817,1637309490.000.json,"113.91343487868,22.50027836826","113.91829249150706,22.49722624141316"
scene-000818,1637309520.000.json,"113.91256014080,22.49909651183","113.91741783230405,22.496043938214545"
scene-000819,1637309550.000.json,"113.91209931084,22.49851452146","113.91695706116955,22.495461727482972"
scene-000820,1637309570.000.json,"113.91159458326,22.49839680987","113.91645244249204,22.495343790451688"
scene-000821,1637309620.000.json,"113.91129645305,22.49858221781","113.91615439842802,22.49552907290042"
scene-000822,1637309660.000.json,"113.91130203976,22.49749443640","113.91615991515941,22.494441284774013"
scene-000823,1637309690.000.json,"113.91023726877,22.49682081249","113.91509540224516,22.493767234366274"
scene-000824,1637309730.000.json,"113.90980144771,22.49596267040","113.91465966581738,22.492908929141386"
scene-000825,1637309795.000.json,"113.90859668096,22.49424524325","113.91345522164657,22.491191102425624"
scene-000826,1637309860.000.json,"113.90810729875,22.49146632723","113.91296585917942,22.488412041891767"
scene-000827,1637309910.000.json,"113.90764574117,22.48905184475","113.91250434372152,22.48599744162602"
scene-000828,1637309935.000.json,"113.90738144574,22.48808111794","113.91224010293759,22.485026653009907"
scene-000829,1637309965.000.json,"113.90793999174,22.48745577251","113.91279836874718,22.48440145415032"
scene-000830,1637310010.000.json,"113.90795534329,22.48617742960","113.91281363336539,22.483123123907966"
scene-000831,1637310420.000.json,"113.91132937243,22.49278512570","113.91618694411865,22.489731964582003"
scene-000832,1637311210.000.json,"113.92403957687,22.50778933457","113.92889873566881,22.50474534131976"
scene-000833,1637311280.000.json,"113.92697830881,22.50784160660","113.93183871952779,22.504800725760717"
scene-000834,1637311350.000.json,"113.92697831928,22.50784165192","113.93183873000581,22.504800771093453"
scene-000835,1637311790.000.json,"113.94646993457,22.50803774399","113.9513486007546,22.505026830625297"
scene-000836,1637311810.000.json,"113.94741460704,22.50737938665","113.95229453029303,22.50437029948907"
scene-000837,1637313050.000.json,"113.95314494651,22.57486266730","113.9580377711936,22.571869858752738"
scene-000838,1637313120.000.json,"113.95248193234,22.57735883295","113.95737385310585,22.574364869625"
scene-000839,1638236280.000.json,"113.99097466521,22.60505586123","113.99595069397759,22.60216798411914"
scene-000840,1638236360.000.json,"113.98623701520,22.60575921692","113.9912013532461,22.602857333492192"
scene-000841,1638236420.000.json,"113.98152329730,22.60779685213","113.9864763592416,22.604881488252467"
scene-000842,1638236460.000.json,"113.98047540223,22.61153345596","113.98542621309605,22.60861564391582"
scene-000843,1638236490.000.json,"113.97844879515,22.61388326667","113.98339499432187,22.610960030496848"
scene-000844,1638236530.000.json,"113.97663286267,22.61617656620","113.98157500660513,22.61324856688658"
scene-000845,1638236560.000.json,"113.97402347873,22.61731567042","113.97895977561372,22.614380594238675"
scene-000847,1638236630.000.json,"113.97391416833,22.62353558669","113.97885061774768,22.62060124684848"
scene-000848,1638236660.000.json,"113.97626950087,22.62287627741","113.98121124009003,22.619948369046806"
scene-000849,1638236700.000.json,"113.97721137288,22.62414873278","113.98215535810375,22.621223688608172"
scene-000850,1638236720.000.json,"113.97720715120,22.62419992414","113.98215112995496,22.62127487683968"
scene-000851,1638236865.000.json,"113.97280225445,22.62653643805","113.97773642097495,22.623599566318994"
scene-000852,1638236910.000.json,"113.96992626841,22.62947204548","113.97485435788654,22.626527930755262"
scene-000853,1638236965.000.json,"113.96868016868,22.63020448399","113.97360565506156,22.627257197984967"
scene-000854,1638236990.000.json,"113.96770337701,22.63113688380","113.97262687436445,22.62818720348489"
scene-000855,1638237020.000.json,"113.96684972601,22.63333191528","113.97177159431868,22.63038041388036"
scene-000857,1638237200.000.json,"113.95134096644,22.63498227069","113.95623475692283,22.6319944639264"
scene-000858,1638237300.000.json,"113.94715179549,22.64042894713","113.95203978660406,22.63743364606835"
scene-000859,1638237320.000.json,"113.94690257941,22.64028468233","113.95179021753349,22.63728886744623"
scene-000860,1638237530.000.json,"113.93651055332,22.62989769129","113.94138550325175,22.62688183960069"
scene-000861,1638237580.000.json,"113.93501179524,22.62903127776","113.93988534234813,22.626013020562517"
scene-000862,1638238545.000.json,"113.91857487145,22.65963420711","113.92344240215152,22.656603626960706"
scene-000863,1638239470.000.json,"113.91837639121,22.68969353874","113.92324581111383,22.686669736758407"
scene-000864,1638239550.000.json,"113.91455313360,22.69729045238","113.91942306576213,22.69426606091784"
scene-000865,1638239750.000.json,"113.91849183987,22.69899935837","113.92336186060898,22.69597798801046"
scene-000866,1638239770.000.json,"113.92002484509,22.70009049503","113.92489512953755,22.697070600490935"
scene-000867,1638239880.000.json,"113.92482368585,22.70054098802","113.92969533626362,22.697525631480108"
scene-000868,1638240010.000.json,"113.92521397478,22.70408410237","113.93008600734275,22.701070073950493"
scene-000869,1638240050.000.json,"113.92444188302,22.70848234363","113.92931389124432,22.70546868547451"
scene-000872,1638240260.000.json,"113.92355037919,22.72204001329","113.92842293350257,22.719029186379103"
scene-000873,1638240280.000.json,"113.92332086900,22.72362189659","113.92819344877181,22.720611293474313"
scene-000874,1638240320.000.json,"113.92284763840,22.72696314487","113.9277202836738,22.723953041256085"
scene-000875,1638240490.000.json,"113.92942381633,22.72823007376","113.93429953559513,22.725227477424525"
scene-000876,1638240540.000.json,"113.93355994314,22.72866127390","113.93843860864025,22.725664263598535"
scene-000877,1638240780.000.json,"113.94220649492,22.73276312946","113.94709401076966,22.729781050312383"
scene-000878,1638240810.000.json,"113.94350083214,22.73511960941","113.94839006284718,22.732140538021216"
scene-000879,1638240850.000.json,"113.94465210530,22.73750947175","113.94954293901377,22.73453322222743"
scene-000880,1638240870.000.json,"113.94597936639,22.73741222322","113.95087193423164,22.73443844868286"
scene-000881,1638240900.000.json,"113.94797198851,22.73720908724","113.95286729030285,22.73423913685244"
scene-000882,1638240930.000.json,"113.94858670171,22.73633521546","113.95348282714747,22.73336623502389"
scene-000883,1638240950.000.json,"113.94857515222,22.73501978521","113.95347117709211,22.732050394284958"
scene-000884,1638241040.000.json,"113.94875149260,22.73697353403","113.95364789703157,22.734005073737933"
scene-000885,1638241080.000.json,"113.94916526034,22.73932887561","113.95406241801615,22.736361951407023"
scene-000886,1638241120.000.json,"113.95124780491,22.73896618248","113.95614807511554,22.73600345720836"
scene-000887,1638241250.000.json,"113.95437517252,22.73922568405","113.95928047556619,22.736269790970812"
scene-000888,1638241270.000.json,"113.95447684628,22.74070128478","113.95938241268428,22.737746057479246"
scene-000889,1638241300.000.json,"113.95409930457,22.74279654489","113.95900437870742,22.73984111206589"
scene-000890,1638241330.000.json,"113.95205280099,22.74438433102","113.95695467353637,22.74142493840756"
scene-000891,1638241350.000.json,"113.95090672571,22.74495351108","113.9558068531193,22.74199186863404"
scene-000892,1638241370.000.json,"113.94958709690,22.74502531341","113.95448523971535,22.742060961614197"
scene-000893,1638241400.000.json,"113.94910224332,22.74401248512","113.95399960757189,22.74104683891592"
scene-000894,1638241420.000.json,"113.94903926164,22.74234943354","113.95393642770925,22.739383158082852"
scene-000895,1638241460.000.json,"113.94830518821,22.74055801803","113.95320117844318,22.737589727954422"
scene-000896,1638241490.000.json,"113.94639474315,22.74108199706","113.95128810443346,22.73811011296081"
scene-000897,1638241550.000.json,"113.94449374295,22.74149805842","113.94938462812735,22.738522703669357"
scene-000898,1638241570.000.json,"113.94396295245,22.74204510755","113.94885320028509,22.73906893798368"
scene-000899,1638241640.000.json,"113.94445858982,22.74740619675","113.94934980683257,22.74443256581807"
scene-000900,1638241660.000.json,"113.94507149756,22.74833140617","113.94996356343765,22.74535920162784"
scene-000901,1638241700.000.json,"113.94670699563,22.74831826686","113.95160124363666,22.7453491793242"
scene-000902,1638241720.000.json,"113.94670698573,22.74831830738","113.95160123372571,22.74534921983742"
scene-000903,1638241750.000.json,"113.94810253920,22.74820953367","113.95299872830336,22.7452431556776"
scene-000904,1638241790.000.json,"113.94914698101,22.74656607361","113.9540445737109,22.7436012934428"
scene-000905,1638241820.000.json,"113.94911977041,22.74525377429","113.9540172395212,22.74228853972554"
scene-000906,1638241910.000.json,"113.94909901705,22.74393269099","113.95399637149025,22.740967014116404"
scene-000907,1638241960.000.json,"113.94867713835,22.74046413441","113.95357365781823,22.737496562298354"
scene-000908,1638242020.000.json,"113.94419003901,22.74151179433","113.9490805390077,22.73853588216274"
scene-000909,1638242060.000.json,"113.94419009418,22.74151184170","113.9490805942505,22.738535929648634"
scene-000910,1638242140.000.json,"113.94371386358,22.74123059113","113.94860374807035,22.73825372140904"
scene-000911,1638242160.000.json,"113.94357887435,22.74008824928","113.94846851833601,22.737110791823337"
scene-000912,1638242180.000.json,"113.94293239252,22.73971569965","113.9478212202684,22.73673696302884"
scene-000913,1638242200.000.json,"113.94150929504,22.73988098333","113.94639645093547,22.736899783032612"
scene-000914,1638242220.000.json,"113.94002067689,22.74006885719","113.94490617742439,22.737085170733916"
scene-000915,1638242240.000.json,"113.93905172458,22.74034217305","113.94393620870224,22.737356961566515"
